"Welcome to the latest survey and directory of existing mammal collections in the Western Hemisphere of the World.  The file here represents a work in progress, and we welcome any and all comments, particularly those that can help the Systematic Collections Committee improve the accuracy of this list.  You will note two font colors in the Excel file: black and green.  The collections listed in green are those for which we have received no updated data regarding that collection during the current survey.  Thus the information presented here is that of the last time data was received (either in 1987 or 1997).  Please contact Bill Stanley (bstanley@fieldmuseum.org) with any comments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,State or Province ,Formal collection title ,Formal collection acronym ,Collection address ,Collection address1 ,Collection address2 ,City,State,Zip,Country,Collection website address ,Name of Curator or Person in Charge ,Telephone number of the above person ,Fax number of the above person ,E-mail address of the above person ,Name of additional contact person ,Telephone number of additional contact person ,Fax number of additional contact person ,E-mail address of additional contact person ,Total number of cataloged specimens in collection ,Number of holotypes in collection ,Taxonomic strength or emphasis of collection ,Geographic strength or emphasis of collection ,Number of mammalian tissues in collection ,Type of tissue preservation ,Names of other collections that have been incorporated into this collection,Is collection electronically databased? ,Is electronic database accessible to the public?  ,How is electronic database accessed by the public?,Former acronyms,Date(s) of accreditation,Last response,SCC Contributor,Comments
Argentina,Buenos Aires,Colección Nacional de Mastozoología del Museo Argentino de Ciencias Naturales,MACN-Ma, , ,Museo Argentino de Ciencias Naturales “Bernardino Rivadavia”, Avenida Ángel Gallardo 470,Buenos Aires,C1405DJR,Argentina,www.macn.secyt.gov.ar/colnac/masto.htm,Olga Beatriz Vaccaro,54-11-4982-6595,54-11-4982-4494/5243,ovaccaro@macn.gov.ar," Esperanza Varela, Gustavo Daneri, Luis Cappozzo",54-11-4982-6595,54-11-4982-4494/5243,"eavarela@macn.gov.ar, gdaneri@macn.gov.ar, cappozzo@mail.retina.ar",22266,18, ,primarily Argentina,0,,,Partially (approximately 60%),no,contact the curator,,,this survey,Iudica,you can contact the curator to access their database
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Mendoza,Museo Municipal de Historia Natural de San Rafael,MMHNSR,,Parque Mariano Moreno,Isla Rio Diamante,San Rafael,Mendoza,5600,Argentina,,Prof. Flavia Patricia Lagiglia,54-02627-423095,,fplagiglia@yahoo.com.ar,Dr. Humberto A. Lagiglia,54-02627-423095,,lagiglia@infovia.com.ar,880,,,south of Mendoza Province,0,,,,yes,contact via email,,,this survey,Iudica,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Misiones,"Instituto de Profesorado ""Antonio R. De Montoya"" - Museo de Ciencias Naturales y Centro de Investigacion", ,,,Ayacucho 1962,Posadas,Misiones,3300,Argentina,www.isparm.edu.ar,Lic. Silvia M.E. Venanzi,,,svenanzi@isparm.edu.ar,,,,, , , , , , , , , , , , ,this survey,Iudica,the museum is closed for now (remodeling)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Chubut,Coleccion de Mamiferos del Centro Nacional Patagonico,CNP,,Centro Nacional Patagonico,Boulevard Brown 3500,Puerto Madryn,Chubut,9120,Argentina,,Dr. Ulyses Francisco Jose Pardiñas,54-2965-451024,54-2965-451543,ulyses@cenpat.edu.ar,Daniel Udrizar Sauthier,54-2965-451024,54-2965-451543,dsauthier@cenpat.edu.ar,914,1,rodentia,chubut-patagonia,almost all the specimens,96% alcohol,,yes,yes,contact via e-mail,,,this survey,Iudica,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,Instituto Argentino de Investigaciónes de las Zonas Aridas,IADIZA-CM,Colección Mastozoológica,Unidad de Zoología y Ecología Animal,Casilla de Correo 507,5500,Mendoza,,Argentina,,Ricardo Ojeda,54-61-287995,54-61-287370,Rojeda@planet.losandes.com.arg,Virgilio Roig/Ana M. Scollo,,,ntcrycit@arcriba.edu.ar,5000,,rodent and xenarthrans,Monte Biome and the Argentinean Patagonia,,,,no,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Entre Rios,"Coleccion de Mastozoologia del Museo de Ciencias Naturales y Antropológicas ""Prof. A. Serrano""",MA,, ,Carlos gardel 62,Parana,Entre Rios,3100,Argentina,,Prof. Maria Laura Calderon,54-0343-4208894,,mlauracalderon16@hotmail.com,Ing. Juan de Souza / Lic. Romina Pave,54-0343-4208894,,juan_de_souza@hotmail.com / rominapave@hotmail.com,110, ,,Entre Rios Province, ,,from Museo Florentino Ameghino,no,,,,,this survey,Iudica,"200 specimens, some w/out data, then only 111 catalogued"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
