Year,Authors,Title,Publication,Volume,Number,Pages,Publisher,DOIs,Relevant? Cody review,Notes,Found pdf?,Has supplementary materials? (yes/no),Is supplementary material in folder?,Supplementary material file name,Who is looking for this paper? (Initials)
2022,"Schlis-Elias, Mariah C.; Malaney, Jason L.; ",Island biogeography predicts skull gigantism and shape variation in meadow voles Microtus pennsylvanicus through ecological release and allometry,Oikos,,,,Nordic Society Oikos,10.1111/oik.08777,,,Yes,Yes,,,ERC
2022,"Yuan, Stella C.; Malekos, Eric; Cuellar-Gempeler, Catalina; Hawkins, Melissa T.R.; ",Population genetic analysis of the Humboldt's flying squirrel using high-throughput sequencing,Journal of Mammalogy,,,1-16,Oxford University Press,10.1093/jmammal/gyac002,,,Yes,Yes,,,ERC
2021,"Caccavo, Aldo; Weksler, Marcelo; ",Systematics of the rodent genus Neacomys Thomas (Cricetidae: Sigmodontinae): two new species and a discussion on carotid patterns,Journal of Mammalogy,,,,Oxford Journals,10.1093/jmammal/gyab037,,,Yes,Yes,,,ERC
2021,"Colella, Jocelyn P; Bates, John; Burneo, Santiago F; Camacho, M Alejandro; Carrion Bonilla, Carlos; Constable, Isabel; D'Elia, Guillermo; Dunnum, Jonathan L; Greiman, Stephen; Hoberg, Eric P; ","Leveraging natural history biorepositories as a global, decentralized, pathogen surveillance network",PLOS Pathogens,,,,PLOS,10.1371/journal.ppat.1009583,,,Yes,No,NA,NA,ERC
2021,"Fabre, Anne-Claire; Dowling, Carys; Portela Miguez, Roberto; Fernandez, Vincent; Noirault, Eve; Goswami, Anjali; ",Functional constraints during development limit jaw shape evolution in marsupials,Proceedings of the Royal Society B,288,1949,,Royal Society,10.1098/rspb.2021.0319,,,Yes,Yes,,,ERC
2021,"Fernandes Semedo, Thiago Borges; Ferreira Da Silva, Maria Nazareth; Carmignotto, Ana Paula; Vieira Rossi, Rogerio; ","Three new species of spiny mice, genus Neacomys Thomas, 1900 (Rodentia: Cricetidae), from Brazilian Amazonia",Systematics and Biodiversity,,,,Taylor and Francis,10.1080/14772000.2021.1980449,,,Yes,Yes,,,ERC
2021,"Shi, Jeff J; Westeen, Erin P; Rabosky, Daniel L; ",A test for rate coupling of trophic and cranial evolutionary dynamics in New World bats,Evolution,,,,Wiley,10.1111/evo.14188,,,Yes,Yes,,,ERC
2021,"Siciliano-Martina, Leila; Light, Jessica E.; Lawing, A. Michelle; ",Changes in canid cranial morphology induced by captivity and conservation implications,Biological Conservation,257,,,Elsevier,10.1016/j.biocon.2021.109143,,,Yes,Yes,,,ERC
2021,"Thompson, CW; Phelps, KL; Allard, MW; Cook, JA; Dunnum, JL; Ferguson, AW; Gelang, M; Khan, FAA; Paul, DL; Reeder, DM; ",Preserve a voucher specimen! The critical need for integrating natural history collections in infectious disease studies,mBio,12,,e02698-20,American Society of Microbiology,10.1128/mBio.02698-20,,,Yes,Yes,,,ERC
2021,"Timm, Robert M.; McLaren, Susan B.; Genoways, Hugh H.; ",Innovations that changed Mammalogy: fluid preparation of research specimens,Journal of Mammalogy,102,1,1-4,,10.1093/jmammal/gyab003,,,Yes,No,NA,NA,ERC
2021,"Voss, Robert S.; Giarla, Thomas C.; ","A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922,  and M. germana Thomas, 1904",American Museum Novitates,,3969,1-28,American Museum of Natural History,10.1206/3969.1,,,Yes,No,NA,NA,ERC
2021,"Voss, Robert S.; Giarla, Thomas C.; Jansa, Sharon A.; ",A revision of the didelphid marsupial genus Marmos Part 4. Species of the asltoni group (subgenus Micoureus),American Museum Novitates,,3983,,American Museum of Natural History,10.1206/3983.1,,,Yes,No,NA,NA,ERC
