,specimen_prediction,Id,paper
71, TMM 43628 8 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas,Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
76, TMM 43628 7 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
106, TMM 43628 9 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
130, TMM 43628 10 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas,Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
156, TMM 43628 11 TMM 43628 12 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
173, TMM 43628 11 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
177, CNHM UR ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
179, TMM 43628 13 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
185, TMM 43628 12 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
191, USNM 21275 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
199, TMM 43628 4 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas,Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
204, TMM 43628 6 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
209, TMM 43628 5 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
218, TMM 43628 2 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
228, TMM 43628 3 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
240, FMNH UC ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
242, TMM 43628 TMM 43628 1 ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
309, TMM 30966 321 CNHM UR 270 UCLA VP ,"Faunal overview of the Mud Hill locality from the early Permian Vale Formation of Taylor County, Texas",10
352, TMM 43681 ,",,,",0
368, TMM 43681 1 ,",,,,",0
369, TMM 43681 TMM ,,0
398, AMNH 3079 MOR 1071 CMN 2289 ,,0
401, TMM 43681 CMN 8676 ROM 702 NMMNH P 25100 ,,0
431, Lehman 1985 ,"PALEOECOLOGY OF THE GADDIS SITE IN THE UPPER CRETACEOUS AGUJA FORMATION, TERLINGUA, TEXAS",17
438, Lehman 1982 ,"PALEOECOLOGY OF THE GADDIS SITE IN THE UPPER CRETACEOUS AGUJA FORMATION, TERLINGUA, TEXAS,PALEOECOLOGY OF THE GADDIS SITE IN THE UPPER CRETACEOUS AGUJA FORMATION, TERLINGUA, TEXAS",17
474, SMZ 1500 ,"PALEOECOLOGY OF THE GADDIS SITE IN THE UPPER CRETACEOUS AGUJA FORMATION, TERLINGUA, TEXAS",17
710, Lehman 1982 Lehman 1989 ,"PALEOECOLOGY OF THE GADDIS SITE IN THE UPPER CRETACEOUS AGUJA FORMATION, TERLINGUA, TEXAS",17
823, UTEP P 37 7 083 ,"Chasmosaurus mariscalensis, sp. nov., a new ceratopsian dinosaur from Texas,Chasmosaurus mariscalensis, sp. nov., a new ceratopsian dinosaur from Texas",6
